"promo_signup_flag","cohort_month","month_offset","users_total"
0,2025-01-01 00:00:00.000 +0200,0,70
0,2025-01-01 00:00:00.000 +0200,1,58
0,2025-01-01 00:00:00.000 +0200,2,54
0,2025-01-01 00:00:00.000 +0200,3,52
0,2025-01-01 00:00:00.000 +0200,4,43
0,2025-01-01 00:00:00.000 +0200,5,39
0,2025-02-01 00:00:00.000 +0200,0,63
0,2025-02-01 00:00:00.000 +0200,1,46
0,2025-02-01 00:00:00.000 +0200,2,48
0,2025-02-01 00:00:00.000 +0200,3,49
0,2025-02-01 00:00:00.000 +0200,4,43
0,2025-03-01 00:00:00.000 +0200,0,51
0,2025-03-01 00:00:00.000 +0200,1,41
0,2025-03-01 00:00:00.000 +0200,2,47
0,2025-03-01 00:00:00.000 +0200,3,41
0,2025-04-01 00:00:00.000 +0300,0,61
0,2025-04-01 00:00:00.000 +0300,1,50
0,2025-04-01 00:00:00.000 +0300,2,47
0,2025-05-01 00:00:00.000 +0300,0,63
0,2025-05-01 00:00:00.000 +0300,1,55
0,2025-06-01 00:00:00.000 +0300,0,50
1,2025-01-01 00:00:00.000 +0200,0,34
1,2025-01-01 00:00:00.000 +0200,1,21
1,2025-01-01 00:00:00.000 +0200,2,17
1,2025-01-01 00:00:00.000 +0200,3,3
1,2025-01-01 00:00:00.000 +0200,4,6
1,2025-01-01 00:00:00.000 +0200,5,3
1,2025-02-01 00:00:00.000 +0200,0,41
1,2025-02-01 00:00:00.000 +0200,1,24
1,2025-02-01 00:00:00.000 +0200,2,17
1,2025-02-01 00:00:00.000 +0200,3,13
1,2025-02-01 00:00:00.000 +0200,4,8
1,2025-03-01 00:00:00.000 +0200,0,31
1,2025-03-01 00:00:00.000 +0200,1,18
1,2025-03-01 00:00:00.000 +0200,2,14
1,2025-03-01 00:00:00.000 +0200,3,11
1,2025-04-01 00:00:00.000 +0300,0,44
1,2025-04-01 00:00:00.000 +0300,1,24
1,2025-04-01 00:00:00.000 +0300,2,14
1,2025-05-01 00:00:00.000 +0300,0,45
1,2025-05-01 00:00:00.000 +0300,1,21
1,2025-06-01 00:00:00.000 +0300,0,47
